UserID,Age,Gender,BodyType,ProductID,Category,FabricType,Style,ColorPalette,Season,Rating,Sentiment,UserAction
U002,37,Male,Bulky,P2776,Coats,Silk,Casual,Black,Spring,3,Neutral,Purchased
U017,25,Non-Binary,Bulky,P2209,Dresses,Linen,Casual,Red,Autumn,2,Negative,Viewed
U018,44,Female,Slim,P0203,Dresses,Polyester,Formal,Green,Summer,5,Positive,Wished
U013,55,Non-Binary,Bulky,P0480,Shirts,Silk,Casual,Red,Summer,3,Neutral,Viewed
U005,53,Female,Athletic,P2913,Blouses,Linen,Casual,Red,Autumn,3,Neutral,Wished
U050,62,Non-Binary,Slim,P1570,Shorts,Polyester,Sporty,Red,Autumn,2,Negative,Wished
U048,26,Female,Bulky,P1050,Jackets,Cotton,Formal,White,Winter,3,Neutral,Purchased
U050,62,Non-Binary,Slim,P0579,Pants,Cotton,Casual,Blue,Summer,2,Negative,Commented
U031,37,Non-Binary,Slim,P0751,Blouses,Denim,Formal,Blue,Spring,2,Negative,Wished
U056,32,Non-Binary,Slim,P1422,Skirts,Linen,Sporty,White,Summer,5,Positive,Purchased
U085,39,Non-Binary,Bulky,P1203,Jackets,Cotton,Sporty,Blue,Winter,3,Neutral,Wished
U020,29,Non-Binary,Slim,P1621,Shorts,Cotton,Casual,Blue,Spring,4,Positive,Purchased
U043,26,Male,Bulky,P1380,Shirts,Denim,Formal,Red,Spring,4,Positive,Purchased
U083,21,Female,Athletic,P1713,Coats,Cotton,Formal,White,Spring,1,Negative,Purchased
U058,23,Male,Bulky,P0099,Blouses,Cotton,Casual,Black,Autumn,3,Neutral,Purchased
U059,32,Female,Slim,P1614,Dresses,Cotton,Casual,Blue,Summer,4,Positive,Purchased
U046,19,Male,Slim,P1256,Dresses,Silk,Casual,Blue,Winter,3,Neutral,Wished
U026,63,Non-Binary,Bulky,P0645,Skirts,Polyester,Formal,Black,Autumn,4,Positive,Viewed
U071,46,Non-Binary,Athletic,P1430,Blouses,Denim,Casual,Blue,Autumn,3,Neutral,Purchased
U090,35,Male,Slim,P0942,Jackets,Linen,Casual,Black,Autumn,4,Positive,Commented
U018,44,Female,Slim,P1735,Dresses,Cotton,Formal,Green,Spring,5,Positive,Wished
U054,34,Non-Binary,Athletic,P2487,Dresses,Polyester,Formal,Green,Winter,5,Positive,Purchased
U070,29,Female,Athletic,P2013,Coats,Cotton,Formal,Green,Spring,3,Neutral,Wished
U044,19,Non-Binary,Bulky,P2835,Blouses,Denim,Casual,White,Spring,2,Negative,Commented
U051,29,Male,Bulky,P1017,Dresses,Polyester,Sporty,Green,Spring,4,Positive,Wished
U033,31,Non-Binary,Bulky,P1263,Blouses,Linen,Formal,Green,Winter,1,Negative,Wished
U016,30,Female,Athletic,P2336,Dresses,Linen,Formal,Red,Spring,4,Positive,Purchased
U089,20,Female,Bulky,P2239,Blouses,Denim,Formal,White,Summer,3,Neutral,Purchased
U005,53,Female,Athletic,P1767,Skirts,Silk,Casual,Green,Autumn,3,Neutral,Wished
U075,52,Female,Athletic,P2560,Jackets,Silk,Casual,Blue,Autumn,2,Negative,Commented
U062,34,Non-Binary,Bulky,P1427,Skirts,Linen,Formal,Green,Spring,5,Positive,Wished
U083,21,Female,Athletic,P0241,Shirts,Silk,Casual,Red,Winter,2,Negative,Wished
U014,58,Non-Binary,Slim,P0947,Skirts,Polyester,Sporty,Red,Winter,3,Neutral,Purchased
U042,35,Non-Binary,Bulky,P2654,Coats,Linen,Formal,Black,Winter,4,Positive,Commented
U041,55,Male,Athletic,P0362,Pants,Silk,Casual,Red,Winter,2,Negative,Purchased
U090,35,Male,Slim,P2790,Dresses,Silk,Formal,White,Autumn,2,Negative,Purchased
U086,64,Male,Athletic,P2325,Blouses,Denim,Sporty,White,Winter,3,Neutral,Purchased
U084,29,Male,Bulky,P1173,Skirts,Polyester,Formal,Black,Autumn,3,Neutral,Purchased
U008,32,Female,Athletic,P1326,Skirts,Cotton,Sporty,Blue,Winter,3,Neutral,Purchased
U078,40,Male,Bulky,P0377,Skirts,Silk,Formal,Black,Autumn,4,Positive,Wished
U062,34,Non-Binary,Bulky,P0371,Coats,Linen,Formal,Blue,Autumn,2,Negative,Wished
U009,30,Female,Bulky,P2756,Jackets,Cotton,Formal,Blue,Autumn,3,Neutral,Purchased
U017,25,Non-Binary,Bulky,P2531,Coats,Polyester,Sporty,Blue,Winter,4,Positive,Purchased
U094,41,Non-Binary,Slim,P2212,Coats,Cotton,Casual,White,Winter,4,Positive,Wished
U011,43,Male,Bulky,P2158,Blouses,Denim,Sporty,White,Winter,2,Negative,Purchased
